task_KEY,update__staff_KEY,project_KEY,project__project_number,project__description,project__priority_KEY,project_template__project_template_id,project_template__project_template_id_sortable,engagement__client_KEY,client__client_id,client__client_id_sortable,client__description,engagement_KEY,completion_order,task_order_description,activity_KEY,activity__activity_id,activity__activity_id_sortable,activity__description,activity__activity_method_KEY,staff_KEY,staff__staff_id,staff__staff_id_sortable,staff__description,tracking_description_KEY,tracking_description__description,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,stored_budgeted_amount,calculated_budgeted_amount,target_start_date,target_complete_date,actual_start_date,actual_complete_date,target,completion_event,comments,task_template_KEY,solution_type_name,completion_event_recorded_date_utc,task_number,project_template_KEY,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,schedule_item_KEY,ready,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,description,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
167,61,118,10118,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3.2,-11.85,True,480,960,44666,44666,44637,44963,,,,8,2020 UltraTax CS,44530.45662,377163,56,15.05,2326.5,15.05,2326.5,0,0,-11.85,False,723453,False,"Beasley, Anya",4193AB,False,Prepare,480,-1846.5,True
168,61,289,10289,Taxation,999,1040,1040,10,32626342500,32626342500                              `,SummitStone Financial,18,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,3,-0.25,True,570,570,42842,42842,42832,43070,,,,8,2015 UltraTax CS,42676.60189,126179,56,3.25,422.5,3.25,422.5,0,0,-0.25,False,253847,False,"Ward, Jaime",4337JW,True,Prepare,570,147.5,False
169,61,249,10249,Taxation,999,1065,1065,22,22422573000,22422573000                              `,InfinityItems Retail,8,3,3: Other,41,OTHER,OTHER,Other Activity,1,89,2960JO,2960JO,"Oliver, Jacqueline",999,Completed,0.25,-0.25,True,41.25,41.25,44635,44635,44648,44963,,,,16,2021 UltraTax CS,44605.15087,390243,59,0.5,82.5,0.5,82.5,0,0,-0.25,False,746366,False,"Oliver, Jacqueline",2960JO,True,Other,41.25,-41.25,True
170,61,118,10118,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,1.5,-0.15,True,510,450,44666,44666,44642,44963,,,,9,2020 UltraTax CS,44530.45662,377164,56,1.65,427.5,1.65,427.5,0,0,-0.15,False,723454,False,"Beasley, Anya",4193AB,False,Review,510,82.5,False
171,61,289,10289,Taxation,999,1040,1040,10,32626342500,32626342500                              `,SummitStone Financial,18,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0.5,0,False,95,95,42842,42842,42838,43070,,,,9,2015 UltraTax CS,42676.60189,126180,56,0.5,95,0.5,95,0,0,0,False,253848,False,"Ward, Jaime",4337JW,True,Review,95,0,False
172,61,254,10254,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0.5,0.3,False,0,65,41744,41744,41757,41757,,,,15,2012 UltraTax CS,41411.98191,12704,59,0.2,50,0.2,50,0,0,0.3,False,17007,False,"Ward, Jaime",4337JW,True,Review,0,-50,True
173,61,9,10009,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3,-10,True,450,450,42004,42004,41978,42004,,,,33,2013 UltraTax CS,41897.62376,49810,208,13,1755,13,1755,0,0,-10,False,88308,False,"Beasley, Anya",4193AB,True,Prepare,450,-1305,True
174,61,298,10298,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,3,3: Other,41,OTHER,OTHER,Other Activity,1,59,3310EM,3310EM,"Moran, Eric",999,Completed,0.25,-0.25,True,32.5,32.5,42842,42842,42788,43070,,,,10,2015 UltraTax CS,42676.55926,123904,56,0.5,113.75,0.5,113.75,0,0,-0.25,False,248345,False,"Moran, Eric",3310EM,True,Other,32.5,-81.25,True
175,61,116,10116,Taxation,999,1040,1040,2,35062011000,35062011000                              `,UnityVault Bank,13,3,3: Other,41,OTHER,OTHER,Other Activity,1,51,3476NB,3476NB,"Bartlett, Nicola",999,Completed,0,-0.33,True,0,0,44301,44301,44474,44574,,,,10,2019 UltraTax CS,44165.39096,288845,56,0.33,51.15,0.33,51.15,0,0,-0.33,False,602569,False,"Bartlett, Nicola",3476NB,False,Other,0,-51.15,True
176,61,280,10280,Taxation,999,1040,1040,20,23346687000,23346687000                              `,GreenSprout Ventures,33,3,3: Other,41,OTHER,OTHER,Other Activity,1,18,3789KR,3789KR,"Russell, Keenan",999,Completed,0.25,0,False,37.5,37.5,44301,44301,44278,44574,,,,10,2019 UltraTax CS,44165.61211,297613,56,0.25,85,0.25,85,0,0,0,False,616908,False,"Russell, Keenan",3789KR,True,Other,37.5,-47.5,True
177,61,299,10299,Taxation,999,1040,1040,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,14,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.5,-0.9,True,137.5,137.5,42842,42842,42837,43070,,,,9,2015 UltraTax CS,42676.5673,124671,56,1.4,266,1.4,266,0,0,-0.9,False,249396,False,"Mccoy, Ridwan",2247RM,True,Review,137.5,-128.5,True
178,61,120,10120,Taxation,999,1040,1040,1,38684554500,38684554500                              `,LedgerLogic Accounting,76,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,2.1,-1.9,True,395,525,44666,44666,44657,44963,,,,9,2020 UltraTax CS,44530.46421,377995,56,4,740,4,740,0,0,-1.9,False,724594,False,"Ward, Jaime",4337JW,False,Review,395,-345,True
179,61,264,10264,Taxation,999,1065,1065,15,22633971000,22633971000                              `,EcoYield Solutions,78,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,0.5,-1.55,True,85,85,43906,43906,43982,44211,,,,15,2018 UltraTax CS,43822.69515,256596,59,2.05,348.5,2.05,348.5,0,0,-1.55,False,542403,False,"Levy, Leroy",2994LL,True,Review,85,-263.5,True
180,61,202,10202,Taxation,999,1120S,1120S,6,30923067000,30923067000                              `,MarketMingle Stores,16,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,3,4686CD,4686CD,"Dennis, Carol",999,Completed,5,1.8,False,625,625,44635,44635,44811,44963,,,,18,2020 UltraTax CS,44530.46904,378306,106,3.2,477.5,3.2,477.5,0,0,1.8,False,725337,False,"Dennis, Carol",4686CD,True,Prepare,625,147.5,False
181,61,214,10214,Taxation,999,1120S,1120S,6,30923067000,30923067000                              `,MarketMingle Stores,16,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,3,4686CD,4686CD,"Dennis, Carol",999,Completed,5,1.89,False,625,625,42444,42444,42427,42735,,,,18,2015 UltraTax CS,42338.45638,89616,106,3.11,497,3.11,497,0,0,1.89,False,178752,False,"Dennis, Carol",4686CD,True,Prepare,625,128,False
182,61,279,10279,Taxation,999,1040,1040,20,23346687000,23346687000                              `,GreenSprout Ventures,33,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,21,2391WM,2391WM,"Molina, William",999,Completed,3,-1.35,True,300,300,44666,44666,44582,44963,,,,8,2020 UltraTax CS,44509.75757,374783,56,4.35,723,4.35,723,0,0,-1.35,False,719304,False,"Molina, William",2391WM,True,Prepare,300,-423,True
183,61,123,10123,Taxation,999,1040,1040,9,40459066500,40459066500                              `,FreshFinds Marketplace,35,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,0.5,-7.1,True,75,150,44666,44666,44580,44963,,,,8,2020 UltraTax CS,44530.48659,379452,56,7.6,1273.75,7.6,1273.75,0,0,-7.1,False,727989,False,"Beasley, Anya",4193AB,False,Prepare,75,-1198.75,True
184,61,171,10171,Accounting,999,ACCOUNTING,ACCOUNTING,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,5,-3.75,True,650,650,42369,42369,42026,42447,,,,5,Creative Solutions Accounting,42024.10872,69519,81,8.75,1006.25,8.75,1006.25,0,0,-3.75,False,133460,False,"Lowe, Otis",4081OL,True,Prepare,650,-356.25,True
185,61,288,10288,Taxation,999,1040,1040,8,39481843500,39481843500                              `,UrbanTrend Retailers,64,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.5,-1,True,162.5,162.5,42842,42842,42815,43070,,,,9,2015 UltraTax CS,42676.59802,126009,56,1.5,225,1.5,225,0,0,-1,False,253356,False,"Cook, Milo",3321MC,True,Review,162.5,-62.5,True
186,61,296,10296,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,0.5,-1,True,75,75,42109,42109,42059,42332,,,,9,2013 UltraTax CS,42004.39598,56662,56,1.5,225,1.5,225,0,0,-1,False,105062,False,"Beasley, Anya",4193AB,True,Review,75,-150,True
187,61,115,10115,Taxation,999,1040,1040,3,35909826000,35909826000                              `,SeedlingSuccess Agritech,14,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,4,2.85,False,1000,1200,44301,44301,44321,44574,,,,9,2019 UltraTax CS,44165.39094,288841,56,1.15,172.5,1.15,172.5,0,0,2.85,False,602564,False,"Mccoy, Ridwan",2247RM,False,Review,1000,827.5,False
188,61,257,10257,Taxation,999,1065,1065,5,34283535000,34283535000                              `,HorizonBank Corp,15,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.5,-0.25,True,175,175,44635,44635,44795,44963,,,,15,2020 UltraTax CS,44500.67594,369253,59,0.75,158.75,0.75,158.75,0,0,-0.25,False,709747,False,"Mccoy, Ridwan",2247RM,True,Review,175,16.25,False
189,61,238,10238,Taxation,999,1065,1065,21,30804892500,30804892500                              `,InsightfulAccounts,34,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.5,0,False,170,170,43906,43906,43879,44196,,,,15,2018 UltraTax CS,43788.93255,241775,59,0.5,100,0.5,100,0,0,0,False,488509,False,"Cook, Milo",3321MC,True,Review,170,70,False
190,61,273,10273,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,78,4152DB,4152DB,"Buchanan, Diane",999,Completed,0.5,-0.75,True,97.5,97.5,44270,44270,44235,44575,,,,15,2019 UltraTax CS,44135.36543,286053,59,1.25,300,1.25,300,0,0,-0.75,False,597110,False,"Buchanan, Diane",4152DB,True,Review,97.5,-202.5,True
191,61,281,10281,Taxation,999,1040,1040,20,23346687000,23346687000                              `,GreenSprout Ventures,33,3,3: Other,41,OTHER,OTHER,Other Activity,1,18,3789KR,3789KR,"Russell, Keenan",999,Completed,0.25,-0.57,True,37.5,37.5,43936,43936,43879,44133,,,,10,2019 UltraTax CS,43879.04459,267184,56,0.82,218,0.82,218,0,0,-0.57,False,560889,False,"Russell, Keenan",3789KR,True,Other,37.5,-180.5,True
192,61,291,10291,Taxation,999,1040,1040,8,39481843500,39481843500                              `,UrbanTrend Retailers,64,3,3: Other,41,OTHER,OTHER,Other Activity,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.25,0,False,83.75,83.75,43206,43206,43191,43465,,,,10,2015 UltraTax CS,43040.47598,162722,56,0.25,83.75,0.25,83.75,0,0,0,False,342258,False,"Cook, Milo",3321MC,True,Other,83.75,0,False
193,61,206,10206,Taxation,999,1120S,1120S,11,37285951500,37285951500                              `,TrustTide Banking,63,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.75,-3.75,True,255,255,44270,44270,44244,44575,,,,19,2019 UltraTax CS,44165.41584,290350,106,4.5,875,4.5,875,0,0,-3.75,False,606315,False,"Cook, Milo",3321MC,True,Review,255,-620,True
194,61,212,10212,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.75,-0.85,True,195,195,42262,42262,42072,42369,,,,19,2013 UltraTax CS,42004.42284,58621,106,1.6,264,1.6,264,0,0,-0.85,False,109875,False,"Mccoy, Ridwan",2247RM,True,Review,195,-69,True
195,61,138,10138,Payroll,999,1099,1099,13,28361139000,28361139000                              `,PrimePulse Accountancy,69,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,107,3746HM,3746HM,"Mclean, Haydn",999,Completed,3,1.75,False,312,390,43131,43131,43123,43160,,,,29,Creative Solutions Accounting,43069.54773,172963,145,1.25,130,1.25,130,0,0,1.75,False,365462,False,"Mclean, Haydn",3746HM,True,Prepare,312,182,False
196,61,236,10236,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3,-5.7,True,600,600,43098,43098,42969,43139,,,,33,2015 UltraTax CS,42808.4447,147319,208,8.7,1305,8.7,1305,0,0,-5.7,False,304380,False,"Beasley, Anya",4193AB,True,Prepare,600,-705,True
197,61,236,10236,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.5,0,False,162.5,162.5,43098,43098,42827,43139,,,,34,2015 UltraTax CS,42808.4447,147320,208,0.5,95,0.5,95,0,0,0,False,304381,False,"Cook, Milo",3321MC,True,Review,162.5,67.5,False
198,61,274,10274,Taxation,999,1065,1065,5,34283535000,34283535000                              `,HorizonBank Corp,15,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,3,-1.41,True,825,825,42809,42809,42801,43081,,,,14,2015 UltraTax CS,42675.03956,121678,59,4.41,656.7,4.41,656.7,0,0,-1.41,False,243695,False,"Mccoy, Ridwan",2247RM,True,Prepare,825,168.3,False
199,61,9,10009,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.5,0,False,130,130,42004,42004,42004,42004,,,,34,2013 UltraTax CS,41897.62376,49811,208,0.5,130,0.5,130,0,0,0,False,88309,False,"Cook, Milo",3321MC,True,Review,130,0,False
200,61,298,10298,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3,-2.95,True,570,570,42842,42842,42780,43070,,,,8,2015 UltraTax CS,42676.55926,123902,56,5.95,930.5,5.95,930.5,0,0,-2.95,False,248343,False,"Beasley, Anya",4193AB,True,Prepare,570,-360.5,True
201,61,116,10116,Taxation,999,1040,1040,2,35062011000,35062011000                              `,UnityVault Bank,13,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0,-7.2,True,0,0,44301,44301,44264,44574,,,,8,2019 UltraTax CS,44165.39096,288843,56,7.2,1080,7.2,1080,0,0,-7.2,False,602567,False,"Ward, Jaime",4337JW,False,Prepare,0,-1080,True
202,61,280,10280,Taxation,999,1040,1040,20,23346687000,23346687000                              `,GreenSprout Ventures,33,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,21,2391WM,2391WM,"Molina, William",999,Completed,3,-0.45,True,300,300,44301,44301,44270,44574,,,,8,2019 UltraTax CS,44165.61211,297611,56,3.45,517.5,3.45,517.5,0,0,-0.45,False,616906,False,"Molina, William",2391WM,True,Prepare,300,-217.5,True
203,61,157,10157,Payroll,999,1099,1099,23,25616209500,25616209500                              `,BrightFutures Finance,87,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,63,4463AP,4463AP,"Phelps, Adele",999,Completed,3,-10.29,True,420,420,43861,43861,43855,43920,,,,29,Creative Solutions Accounting,43847.85686,265225,145,13.29,641.7,13.29,641.7,0,0,-10.29,False,557622,False,"Phelps, Adele",4463AP,True,Prepare,420,-221.7,True
204,61,168,10168,Accounting,999,ACCOUNTING,ACCOUNTING,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,2.5,False,360,360,41639,41639,41678,41729,,,,5,Creative Solutions Accounting,41610.2884,32179,81,2.5,235,2.5,235,0,0,2.5,False,45785,False,"Murphy, Asia",4194AM,True,Prepare,360,125,False
205,61,172,10172,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,1.5,False,575,575,42369,42369,42047,42447,,,,5,Creative Solutions Accounting,42024.10872,69540,81,3.5,402.5,3.5,402.5,0,0,1.5,False,133488,False,"Murphy, Asia",4194AM,True,Prepare,575,172.5,False
206,61,111,10111,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,2,-1.25,True,600,600,44286,44286,44337,44575,,,,21,Creative Solutions Accounting,44104.33453,280784,99,3.25,650,3.25,650,0,0,-1.25,False,589699,False,"Mccoy, Ridwan",2247RM,True,Review,600,-50,True
207,61,235,10235,Taxation,999,TAXPLAN,TAXPLAN,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3,-1.8,True,630,630,44196,44196,44092,44203,,,,33,2019 UltraTax CS,43936.35375,272087,208,4.8,720,4.8,720,0,0,-1.8,False,568673,False,"Beasley, Anya",4193AB,True,Prepare,630,-90,True
208,61,132,10132,Payroll,999,Q4PRW2S,Q4PRW2S,14,29405385000,29405385000                              `,VistaVogue Outlets,97,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,0,-0.4,True,0,0,43131,43131,43105,43139,,,,42,Other,43014.80921,156341,144,0.4,43.2,0.4,43.2,0,0,-0.4,False,325081,False,"Murphy, Asia",4194AM,True,Review,0,-43.2,True
209,61,301,10301,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,3,-1.6,True,630,630,43206,43206,43126,43404,,,,8,2015 UltraTax CS,43040.43529,160782,56,4.6,690,4.6,690,0,0,-1.6,False,337308,False,"Beasley, Anya",4193AB,True,Prepare,630,-60,True
210,61,260,10260,Taxation,999,1065,1065,16,21747927000,21747927000                              `,ClearCut Calculations,23,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,3,-5.11,True,540,540,44635,44635,44588,44805,,,,14,2020 UltraTax CS,44500.69574,371679,59,8.11,960.75,8.11,960.75,0,0,-5.11,False,712982,False,"Heath, Luis",4380LH,True,Prepare,540,-420.75,True
211,61,262,10262,Taxation,999,1065,1065,4,27956983500,27956983500                              `,WealthWave Advisors,77,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,3,-0.9,True,510,510,43906,43906,43874,44196,,,,14,2018 UltraTax CS,43788.93255,240421,59,3.9,643.5,3.9,643.5,0,0,-0.9,False,486704,False,"Lowe, Otis",4081OL,True,Prepare,510,-133.5,True
212,61,207,10207,Taxation,999,1120S,1120S,18,23344078500,23344078500                              `,BeaconBridge Banking,9,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,59,3310EM,3310EM,"Moran, Eric",999,Completed,5,-9.07,True,750,750,44270,44270,44228,44575,,,,18,2019 UltraTax CS,44165.61201,297599,106,14.07,2110.5,14.07,2110.5,0,0,-9.07,False,616890,False,"Moran, Eric",3310EM,True,Prepare,750,-1360.5,True
213,61,217,10217,Taxation,999,1120S,1120S,11,37285951500,37285951500                              `,TrustTide Banking,63,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.75,-0.5,True,243.75,243.75,42809,42809,42810,43083,,,,19,2015 UltraTax CS,42704.76396,134672,106,1.25,187.5,1.25,187.5,0,0,-0.5,False,272058,False,"Cook, Milo",3321MC,True,Review,243.75,56.25,False
214,61,198,10198,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.75,-0.75,True,225,225,44270,44270,44268,44575,,,,19,2019 UltraTax CS,44165.39954,289390,106,1.5,292.5,1.5,292.5,0,0,-0.75,False,603860,False,"Mccoy, Ridwan",2247RM,True,Review,225,-67.5,True
215,61,247,10247,Taxation,999,1065,1065,25,20616853500,20616853500                              `,PeakPinnacle Bank,95,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,3,0.8,False,525,525,44635,44635,44607,44963,,,,14,2020 UltraTax CS,44500.70334,372612,59,2.2,220,2.2,220,0,0,0.8,False,714226,False,"Levy, Leroy",2994LL,True,Prepare,525,305,False
216,61,267,10267,Taxation,999,1065,1065,5,34283535000,34283535000                              `,HorizonBank Corp,15,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,3,-7.98,True,900,900,44270,44270,44252,44575,,,,14,2019 UltraTax CS,44135.34046,282968,59,10.98,1647,10.98,1647,0,0,-7.98,False,592997,False,"Mccoy, Ridwan",2247RM,True,Prepare,900,-747,True
217,61,200,10200,Taxation,999,1120S,1120S,12,25103704500,25103704500                              `,ProsperPath Investments,12,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,5,-5.69,True,750,750,44270,44270,44228,44575,,,,18,2019 UltraTax CS,44165.61206,297605,106,10.69,1603.5,10.69,1603.5,0,0,-5.69,False,616898,False,"Heath, Luis",4380LH,True,Prepare,750,-853.5,True
218,61,204,10204,Taxation,999,1120S,1120S,18,23344078500,23344078500                              `,BeaconBridge Banking,9,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,59,3310EM,3310EM,"Moran, Eric",999,Completed,5,4.58,False,750,750,43905,43905,43881,44196,,,,18,2019 UltraTax CS,43878.93571,267146,106,0.42,60,0.42,60,0,0,4.58,False,560824,False,"Moran, Eric",3310EM,True,Prepare,750,690,False
219,61,208,10208,Taxation,999,1120S,1120S,19,26265427500,26265427500                              `,BrightHorizon Enterprises,10,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,20,4501CH,4501CH,"Harmon, Cecily",999,Completed,5,-4.86,True,500,500,44270,44270,44228,44575,,,,18,2019 UltraTax CS,44165.61204,297602,106,9.86,1479,9.86,1479,0,0,-4.86,False,616894,False,"Harmon, Cecily",4501CH,True,Prepare,500,-979,True
220,61,116,10116,Taxation,999,1040,1040,2,35062011000,35062011000                              `,UnityVault Bank,13,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,5.1,4.85,False,1275,1530,44301,44301,44369,44574,,,,9,2019 UltraTax CS,44165.39096,288844,56,0.25,37.5,0.25,37.5,0,0,4.85,False,602568,False,"Mccoy, Ridwan",2247RM,False,Review,1275,1237.5,False
221,61,298,10298,Taxation,999,1040,1040,13,28361139000,28361139000                              `,PrimePulse Accountancy,36,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,0.5,-0.25,True,95,95,42842,42842,42793,43070,,,,9,2015 UltraTax CS,42676.55926,123903,56,0.75,243.75,0.75,243.75,0,0,-0.25,False,248344,False,"Beasley, Anya",4193AB,True,Review,95,-148.75,True
222,61,209,10209,Taxation,999,1120S,1120S,11,37285951500,37285951500                              `,TrustTide Banking,63,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,94,4081OL,4081OL,"Lowe, Otis",999,Completed,5,-4.66,True,925,925,44635,44635,44635,44963,,,,18,2020 UltraTax CS,44530.48109,379035,106,9.66,993.5,9.66,993.5,0,0,-4.66,False,727153,False,"Lowe, Otis",4081OL,True,Prepare,925,-68.5,True
223,61,215,10215,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,5,1.09,False,900,900,42809,42809,42801,43083,,,,18,2015 UltraTax CS,42704.74273,132552,106,3.91,581.7,3.91,581.7,0,0,1.09,False,269222,False,"Hardin, Olly",2156OH,True,Prepare,900,318.3,False
224,61,195,10195,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,79,2156OH,2156OH,"Hardin, Olly",999,Completed,5,4.34,False,950,950,43539,43539,43514,43811,,,,18,2018 UltraTax CS,43434.38329,208476,106,0.66,102.5,0.66,102.5,0,0,4.34,False,434755,False,"Hardin, Olly",2156OH,True,Prepare,950,847.5,False
225,61,145,10145,Payroll,999,Q2PRTAX,Q2PRTAX,14,29405385000,29405385000                              `,VistaVogue Outlets,97,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,96,2027MC,2027MC,"Colon, Malachi",999,Completed,3,2,False,420,420,43312,43312,43284,43313,,,,25,Creative Solutions Accounting,43014.80921,156346,130,1,112,1,112,0,0,2,False,325088,False,"Colon, Malachi",2027MC,True,Prepare,420,308,False
226,61,269,10269,Taxation,999,1065,1065,21,30804892500,30804892500                              `,InsightfulAccounts,34,3,3: Other,41,OTHER,OTHER,Other Activity,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.25,0,False,85,85,44270,44270,44278,44575,,,,16,2019 UltraTax CS,44135.354,284644,59,0.25,85,0.25,85,0,0,0,False,595231,False,"Cook, Milo",3321MC,True,Other,85,0,False
