staff_KEY,update__staff_KEY,update_date_utc,staff_id,description,user_name,first_name,middle_name,last_name,social_security_number,comments,date_hired,date_left,date_education_met,date_exam_passed,date_experience_met,date_certified,certification_number,staff_status_KEY,staff_level_KEY,office_KEY,department_KEY,supervisor__staff_KEY,contact_KEY,create_date_utc,staff_id_sortable,department__description,office_id,office__description,staff__email
115,61,04/14/2023,4428AF,"Farrell, Archie",4428AF,Archie,,Farrell,,,01/05/2020,,,,,,,1,6,2,2,73,116,12/30/2019,Z00000004428AF                            g,Tax,WACL,Crystal Lake,afarrell@company.com
116,61,03/17/2023,4646BA,"Atkinson, Bushra",4646BA,Bushra,B,Atkinson,,,01/29/2020,,,,,,,1,7,2,1,78,70,01/24/2020,Z00000004646BA                            g,Client Accounting,WACL,Crystal Lake,batkinson@company.com
117,61,02/12/2024,3683HH,"Hess, Helen",3683HH,Helen,M,Hess,,,04/28/2020,,,,,,,1,13,1,3,71,303,03/12/2020,Z00000003683HH                            g,Payroll,IDMV,Mount Vista,hhess@company.com
118,61,02/01/2023,4624LL,"Levy, Leonie",4624LL,Leonie,D,Levy,,,12/28/2020,,,,,,,1,11,1,3,71,151,12/22/2020,Z00000004624LL                            g,Payroll,IDMV,Mount Vista,llevy@company.com
119,61,06/26/2023,4230AS,"Small, Alfie",4230AS,Alfie,,Small,,,01/10/2021,,,,,,,1,6,1,2,75,173,01/06/2021,Z00000004230AS                            g,Tax,IDMV,Mount Vista,asmall@company.com
120,61,06/26/2023,4171JD,"Duffy, Julian",4171JD,Julian,,Duffy,,,01/10/2021,,,,,,,1,6,1,1,78,80,01/06/2021,Z00000004171JD                            g,Client Accounting,IDMV,Mount Vista,jduffy@company.com
121,61,10/17/2023,3687TH,"Hahn, Theresa",3687TH,Theresa,A,Hahn,,,01/10/2021,,,,,,,1,6,1,1,78,172,01/06/2021,Z00000003687TH                            g,Client Accounting,IDMV,Mount Vista,thahn@company.com
122,61,09/05/2023,2845TH,"Hunt, Tia",2845TH,Tia,,Hunt,,,01/10/2021,,,,,,,1,6,1,2,75,175,01/06/2021,Z00000002845TH                            g,Tax,IDMV,Mount Vista,thunt@company.com
123,61,02/01/2023,3525HN,"Neal, Hamza",3525HN,Hamza,A,Neal,,,03/14/2021,,,,,,,1,11,1,3,71,256,03/09/2021,Z00000003525HN                            g,Payroll,IDMV,Mount Vista,hneal@company.com
124,61,04/14/2023,3024BC,"Chapman, Beau",3024BC,Beau,I,Chapman,,,05/09/2021,,,,,,,1,12,1,3,71,381,04/29/2021,Z00000003024BC                            g,Payroll,IDMV,Mount Vista,bchapman@company.com
125,61,04/14/2023,2111AG,"Gillespie, Annika",2111AG,Annika,M,Gillespie,,,07/11/2021,,,,,,,1,14,1,3,71,140,07/05/2021,Z00000002111AG                            g,Payroll,IDMV,Mount Vista,agillespie@company.com
126,61,04/14/2023,3984CT,"Tanner, Cynthia",3984CT,Cynthia,J,Tanner,,,12/05/2021,,,,,,,1,6,3,3,71,270,11/10/2021,Z00000003984CT                            g,Payroll,ORPB,Pacifica Bluffs,ctanner@company.com
127,61,12/21/2023,2617KP,"Petersen, Keisha",2617KP,Keisha,J,Petersen,,,01/10/2022,,,,,,,1,6,1,1,78,167,12/27/2021,Z00000002617KP                            g,Client Accounting,IDMV,Mount Vista,kpetersen@company.com
128,61,07/27/2023,4789CM,"Mccarthy, Cara",4789CM,Cara,,Mccarthy,,,01/09/2022,,,,,,,1,4,1,1,78,63,12/27/2021,Z00000004789CM                            g,Client Accounting,IDMV,Mount Vista,cmccarthy@company.com
129,61,02/22/2024,4989MW,"Weaver, Mathew",4989MW,Mathew,,Weaver,,,01/09/2022,,,,,,,1,4,1,1,78,102,12/28/2021,Z00000004989MW                            g,Client Accounting,IDMV,Mount Vista,mweaver@company.com
130,61,07/25/2023,4797DT,"Taylor, Diane",4797DT,Diane,P,Taylor,,,01/09/2022,,,,,,,1,6,1,4,78,124,12/28/2021,Z00000004797DT                            g,Forensic Accounting,IDMV,Mount Vista,dtaylor@company.com
131,61,04/14/2023,2013AB,"Blankenship, Aimee",2013AB,Aimee,I,Blankenship,,,02/06/2022,,,,,,,1,11,1,3,71,103,01/14/2022,Z00000002013AB                            g,Payroll,IDMV,Mount Vista,ablankenship@company.com
132,61,04/14/2023,2873AP,"Phillips, Amanda",2873AP,Amanda,M,Phillips,,,02/06/2022,,,,,,,1,11,1,3,71,146,01/14/2022,Z00000002873AP                            g,Payroll,IDMV,Mount Vista,aphillips@company.com
133,61,02/01/2023,3467KS,"Slater, Karim",3467KS,Karim,C,Slater,,,02/20/2022,,,,,,,1,5,1,3,71,53,02/14/2022,Z00000003467KS                            g,Payroll,IDMV,Mount Vista,kslater@company.com
134,61,02/01/2023,2622FM,"Mercado, Fraser",2622FM,Fraser,D,Mercado,,,04/10/2022,,,,,,,1,5,1,3,71,196,04/05/2022,Z00000002622FM                            g,Payroll,IDMV,Mount Vista,fmercado@company.com
135,61,04/14/2023,4329JB,"Brooks, Janet",4329JB,Janet,A,Brooks,,,07/31/2022,,,,,,,1,1,2,1,78,105,07/18/2022,Z00000004329JB                            g,Client Accounting,WACL,Crystal Lake,jbrooks@company.com
136,61,10/20/2023,4219LH,"Harrison, Lennox",4219LH,Lennox,C,Harrison,,,07/31/2022,,,,,,,1,6,1,1,78,160,07/20/2022,Z00000004219LH                            g,Client Accounting,IDMV,Mount Vista,lharrison@company.com
137,61,02/22/2024,2947MB,"Beasley, Maison",2947MB,Maison,R,Beasley,,,10/02/2022,,,,,,,1,6,1,3,71,194,09/19/2022,Z00000002947MB                            g,Payroll,IDMV,Mount Vista,mbeasley@company.com
138,61,06/26/2023,3163KT,"Terry, Katrina",3163KT,Katrina,W,Terry,,,01/08/2023,,,,,,,1,15,1,1,78,127,12/22/2022,Z00000003163KT                            g,Client Accounting,IDMV,Mount Vista,kterry@company.com
139,61,06/26/2023,4788LR,"Rose, Laila",4788LR,Laila,K,Rose,,,01/08/2023,,,,,,,1,15,1,1,78,165,12/22/2022,Z00000004788LR                            g,Client Accounting,IDMV,Mount Vista,lrose@company.com
140,61,02/21/2024,4074LH,"Holloway, Lorenzo",4074LH,Lorenzo,A,Holloway,,,01/08/2023,,,,,,,1,6,1,1,78,166,12/22/2022,Z00000004074LH                            g,Client Accounting,IDMV,Mount Vista,lholloway@company.com
141,61,08/02/2023,2788AR,"Robertson, Anne",2788AR,Anne,J,Robertson,,,01/08/2023,,,,,,,1,4,1,2,75,208,12/27/2022,Z00000002788AR                            g,Tax,IDMV,Mount Vista,arobertson@company.com
142,61,02/20/2024,2609KC,"Calhoun, Kelly",2609KC,Kelly,R,Calhoun,,,01/08/2023,,,,,,,1,6,1,1,78,128,12/30/2022,Z00000002609KC                            g,Client Accounting,IDMV,Mount Vista,kcalhoun@company.com
143,61,05/03/2023,3845JP,"Pearson, Jessica",3845JP,Jessica,P,Pearson,,,01/08/2023,,,,,,,1,6,1,1,78,129,01/04/2023,Z00000003845JP                            g,Client Accounting,IDMV,Mount Vista,jpearson@company.com
144,61,04/25/2023,2034AG,"Gaines, Ajay",2034AG,Ajay,L,Gaines,,,05/07/2023,,,,,,,1,15,1,2,75,89,04/25/2023,Z00000002034AG                            g,Tax,IDMV,Mount Vista,againes@company.com
145,61,07/20/2023,2163FK,"Knight, Finnley",2163FK,Finnley,D,Knight,,,07/30/2023,,,,,,,1,2,1,3,71,178,06/22/2023,Z00000002163FK                            g,Payroll,IDMV,Mount Vista,fknight@company.com
146,61,08/02/2023,3071SR,"Romero, Sulayman",3071SR,Sulayman,M,Romero,,,07/30/2023,,,,,,,1,4,1,1,78,170,07/11/2023,Z00000003071SR                            g,Client Accounting,IDMV,Mount Vista,sromero@company.com
147,61,12/21/2023,2868PD,"Dale, Patricia",2868PD,Patricia,M,Dale,,,07/30/2023,,,,,,,1,6,1,3,71,107,07/11/2023,Z00000002868PD                            g,Payroll,IDMV,Mount Vista,pdale@company.com
148,61,10/03/2023,3316RA,"Adams, Rhiannon",3316RA,Rhiannon,D,Adams,,,10/08/2023,,,,,,,1,15,1,3,71,132,10/03/2023,Z00000003316RA                            g,Payroll,IDMV,Mount Vista,radams@company.com
149,61,12/28/2023,4270HP,"Parker, Herman",4270HP,Herman,M,Parker,,,01/14/2024,,,,,,,1,15,2,1,78,206,12/28/2023,Z00000004270HP                            g,Client Accounting,WACL,Crystal Lake,hparker@company.com
150,61,12/28/2023,2215JG,"Gomez, Jacqueline",2215JG,Jacqueline,E,Gomez,,,01/14/2024,,,,,,,1,15,1,1,78,95,12/28/2023,Z00000002215JG                            g,Client Accounting,IDMV,Mount Vista,jgomez@company.com
151,61,12/28/2023,4940MM,"Mcknight, Michael",4940MM,Michael,M,Mcknight,,,01/14/2024,,,,,,,1,15,2,1,78,193,12/28/2023,Z00000004940MM                            g,Client Accounting,WACL,Crystal Lake,mmcknight@company.com
152,61,01/25/2024,2365AB,"Boyd, Annabel",2365AB,Annabel,S,Boyd,,,01/14/2024,,,,,,,1,15,1,1,78,181,12/28/2023,Z00000002365AB                            g,Client Accounting,IDMV,Mount Vista,aboyd@company.com
153,61,12/28/2023,3244VS,"Snyder, Violet",3244VS,Violet,R,Snyder,,,01/14/2024,,,,,,,1,15,3,1,78,202,12/28/2023,Z00000003244VS                            g,Client Accounting,ORPB,Pacifica Bluffs,vsnyder@company.com
